2026-09-15 20:15:58,699 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-09-15 20:15:58,898 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-09-15 20:15:59,249 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/2_Normalize/config.json "HTTP/1.1 404 Not Found"
2026-09-15 20:15:59,605 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-09-15 20:15:59,794 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-15 20:15:59,795 | INFO     | phoenix_rag.corpus | Bootstrapping corpus from the configured source document source.pdf
2026-09-15 20:15:59,795 | INFO     | phoenix_rag.document_loader | Loading document source.pdf (.pdf)
2026-09-15 20:16:00,901 | INFO     | phoenix_rag.document_loader | Loaded 4 page(s)/section(s) from source.pdf
2026-09-15 20:22:36,041 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-15 20:27:10,113 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-15 20:27:10,504 | INFO     | phoenix_rag.operations | Configuration field providers.embedding.backend set to 'mistral'
2026-09-15 20:27:10,505 | INFO     | phoenix_rag.operations | Configuration field providers.embedding.model set to 'mistral-embed'
2026-09-15 20:27:10,506 | INFO     | phoenix_rag.operations | Configuration field providers.embedding.api_key_env set to 'MISTRAL_API_KEY'
2026-09-15 20:27:10,506 | INFO     | phoenix_rag.operations | Configuration field providers.generation.backend set to 'mistral'
2026-09-15 20:27:10,507 | INFO     | phoenix_rag.operations | Configuration field providers.generation.model set to 'mistral-small-latest'
2026-09-15 20:27:10,507 | INFO     | phoenix_rag.operations | Configuration field providers.generation.api_key_env set to 'MISTRAL_API_KEY'
2026-09-15 20:27:10,507 | INFO     | phoenix_rag.operations | Configuration field providers.generation.base_url set to 'None'
2026-09-15 20:27:11,300 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-15 20:27:15,914 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-15 20:27:17,398 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-15 20:27:18,533 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-15 20:27:19,101 | INFO     | phoenix_rag.corpus | No corpus manifest at /home/yared/workspace/phoenix-rag-experiments/data/corpus/manifest.json; starting an empty corpus
2026-09-17 19:43:12,626 | INFO     | phoenix_rag.cli | Starting Phoenix RAG optimization run
